task_id,n_records,n_test_inputs,n_candidates,n_unique_grids,ttt_seconds,solve_seconds,hit_time_guard,gpu_index,peak_mem_train_mib,peak_mem_infer_mib
00576224,530,1,528,,,2401.6803,1,cuda:0,77.8594,
045e512c,451,1,449,,,2403.5438,1,cuda:0,813.8228,
09c534e7,599,1,597,,,2403.3235,1,cuda:0,1412.5420,
0e206a2e,349,1,347,,,2401.5310,1,cuda:1,736.3452,
12422b43,583,1,581,,,2403.9299,1,cuda:1,302.5498,
1478ab18,381,1,379,,,2402.9758,1,cuda:1,83.0303,
195ba7dc,572,1,570,,,2402.0237,1,cuda:0,101.6050,
1a2e2828,9,1,7,,,2402.9684,1,cuda:0,462.2480,
1b59e163,477,1,475,,,2404.5281,1,cuda:0,465.8457,
1f0c79e5,566,1,564,,,2401.6358,1,cuda:1,191.1211,
1f85a75f,359,1,357,,,2403.1887,1,cuda:1,1062.9038,
25c199f5,994,2,990,,,2403.3381,1,cuda:1,197.5312,
27f8ce4f,570,1,568,,,2403.5510,1,cuda:0,262.9985,
29700607,318,1,316,,,2402.4138,1,cuda:0,374.7759,
2c0b0aff,187,1,185,,,2405.9237,1,cuda:0,499.8442,
2de01db2,289,1,287,,,2401.4518,1,cuda:1,77.4453,
332202d5,531,1,529,,,2403.4609,1,cuda:1,593.7090,
3490cc26,500,1,498,,,2404.3690,1,cuda:1,828.8652,
34cfa167,1438,2,1434,,,2403.3464,1,cuda:0,1412.5659,
3906de3d,485,1,483,,,2400.7739,1,cuda:0,93.9751,
3979b1a8,858,1,856,,,2402.1634,1,cuda:0,146.5215,
3d31c5b3,535,1,533,,,2403.2818,1,cuda:1,169.2056,
41ace6b5,654,1,652,,,2402.1684,1,cuda:1,374.7759,
4364c1c4,477,1,475,,,2400.7852,1,cuda:1,395.4790,
48d8fb45,216,1,214,,,2404.0122,1,cuda:0,163.6675,
4a1cacc2,223,1,221,,,2402.1457,1,cuda:0,168.9634,
4ff4c9da,370,1,368,,,2402.8201,1,cuda:0,674.8677,
50c07299,121,1,119,,,2401.9585,1,cuda:1,191.0605,
53b68214,746,2,742,,,2402.3784,1,cuda:1,198.1265,
543a7ed5,500,1,498,,,2401.0609,1,cuda:1,211.7202,
5587a8d0,316,1,314,,,2402.3340,1,cuda:0,216.5381,
56dc2b01,401,1,399,,,2400.2519,1,cuda:0,301.1812,
