task_id,n_records,n_test_inputs,n_candidates,n_unique_grids,ttt_seconds,solve_seconds,hit_time_guard,gpu_index,peak_mem_train_mib,peak_mem_infer_mib
05269061,567,1,565,,,2401.6684,1,cuda:0,94.9395,
0a1d4ef5,274,1,272,,,2404.8717,1,cuda:0,2006.8926,
0d3d703e,342,1,340,,,2403.0329,1,cuda:0,54.6333,
1190bc91,660,1,658,,,2404.5572,1,cuda:1,256.1577,
12997ef3,958,2,954,,,2404.8674,1,cuda:1,440.5728,
13713586,450,1,448,,,2401.2468,1,cuda:1,642.9678,
15696249,594,1,592,,,2400.4471,1,cuda:0,167.5449,
184a9768,610,1,608,,,2400.1055,1,cuda:0,1341.4551,
19bb5feb,166,1,164,,,2403.4207,1,cuda:0,475.9917,
1b2d62fb,177,1,175,,,2401.4589,1,cuda:1,76.4575,
1e5d6875,424,1,422,,,2403.5213,1,cuda:1,278.3604,
20981f0e,519,1,517,,,2400.6583,1,cuda:1,243.6240,
234bbc79,14,1,12,,,2403.2659,1,cuda:0,96.5112,
2c737e39,468,1,466,,,2400.7765,1,cuda:0,285.3125,
310f3251,151,1,149,,,2405.1941,1,cuda:0,625.8457,
31aa019c,334,1,332,,,2403.3611,1,cuda:1,256.1577,
342ae2ed,436,1,434,,,2403.0050,1,cuda:1,531.1387,
351d6448,284,1,282,,,2402.7268,1,cuda:1,188.9219,
36fdfd69,470,1,468,,,2400.2019,1,cuda:0,511.6714,
396d80d7,353,1,351,,,2403.2895,1,cuda:0,322.3081,
3cd86f4f,897,3,891,,,2403.3413,1,cuda:0,397.2021,
414297c0,194,1,192,,,2403.8459,1,cuda:1,1144.9927,
423a55dc,513,1,511,,,2400.1146,1,cuda:1,317.5308,
46c35fc7,608,1,606,,,2402.3413,1,cuda:1,141.1328,
4e45f183,594,1,592,,,2402.5824,1,cuda:0,600.0269,
506d28a5,398,1,396,,,2402.7335,1,cuda:0,92.9697,
50846271,435,1,433,,,2404.0204,1,cuda:0,520.0698,
52fd389e,732,1,730,,,2403.2706,1,cuda:1,1328.8359,
54d82841,378,1,376,,,2404.5957,1,cuda:1,143.4912,
57aa92db,501,1,499,,,2403.3678,1,cuda:1,1139.2085,
5a5a2103,645,1,643,,,2400.8707,1,cuda:0,886.9302,
5d2a5c43,1124,2,1120,,,2402.9840,1,cuda:0,112.8887,
642248e4,458,1,456,,,2400.3715,1,cuda:0,404.8545,
6430c8c4,259,1,257,,,2402.1726,1,cuda:1,78.9043,
69889d6e,598,1,596,,,2403.1185,1,cuda:1,111.1377,
6df30ad6,283,1,281,,,2402.3991,1,cuda:1,337.3926,
6f473927,353,1,351,,,2401.4039,1,cuda:0,145.1763,
6ffe8f07,1516,2,1512,,,2400.4614,1,cuda:0,638.9731,
72322fa7,406,1,404,,,2403.7195,1,cuda:0,776.8145,
72ca375d,330,1,328,,,2403.5096,1,cuda:1,231.7544,
79cce52d,680,1,678,,,2400.6631,1,cuda:1,141.1328,
7e4d4f7c,291,1,289,,,2401.6922,1,cuda:1,376.1670,
7ee1c6ea,451,1,449,,,2401.1091,1,cuda:0,256.1577,
8a004b2b,341,1,339,,,2404.6395,1,cuda:0,485.7041,
