task_id,test_index,family,oracle_hit,native_top2_hit,v4_top2_hit,sufficiency,category
00576224,0,larger,True,True,True,1.0,6_both_succeed
045e512c,0,same,False,False,False,1.0,1_generation_failure
05269061,0,same,True,True,False,1.0,4_native_only_success
09c534e7,0,same,False,False,False,1.0,1_generation_failure
0a1d4ef5,0,smaller,False,False,False,1.0,1_generation_failure
0d3d703e,0,same,True,False,False,1.0,7_both_fail_correct_candidate_present
0e206a2e,0,same,False,False,False,1.0,1_generation_failure
1190bc91,0,same,False,False,False,1.0,1_generation_failure
12422b43,0,same,False,False,False,1.0,1_generation_failure
12997ef3,0,smaller,False,False,False,1.0,1_generation_failure
12997ef3,1,smaller,False,False,False,1.0,1_generation_failure
13713586,0,same,False,False,False,1.0,1_generation_failure
1478ab18,0,same,True,True,True,1.0,6_both_succeed
15696249,0,larger,False,False,False,1.0,1_generation_failure
184a9768,0,same,False,False,False,1.0,1_generation_failure
195ba7dc,0,smaller,False,False,False,1.0,1_generation_failure
19bb5feb,0,smaller,False,False,False,1.0,1_generation_failure
1a2e2828,0,smaller,True,True,False,1.0,4_native_only_success
1b2d62fb,0,smaller,True,False,False,1.0,7_both_fail_correct_candidate_present
1b59e163,0,same,False,False,False,1.0,1_generation_failure
1e5d6875,0,same,False,False,False,1.0,1_generation_failure
1f0c79e5,0,same,False,False,False,1.0,1_generation_failure
1f85a75f,0,smaller,False,False,False,1.0,1_generation_failure
20981f0e,0,same,False,False,False,1.0,1_generation_failure
234bbc79,0,smaller,False,False,False,1.0,1_generation_failure
25c199f5,0,smaller,False,False,False,1.0,1_generation_failure
25c199f5,1,smaller,False,False,False,1.0,1_generation_failure
27f8ce4f,0,larger,False,False,False,1.0,1_generation_failure
29700607,0,same,True,True,False,1.0,4_native_only_success
2c0b0aff,0,smaller,False,False,False,1.0,1_generation_failure
2c737e39,0,same,False,False,False,1.0,1_generation_failure
2de01db2,0,same,True,False,False,1.0,7_both_fail_correct_candidate_present
310f3251,0,larger,False,False,False,1.0,1_generation_failure
31aa019c,0,same,False,False,False,1.0,1_generation_failure
332202d5,0,same,False,False,False,1.0,1_generation_failure
342ae2ed,0,same,True,True,True,1.0,6_both_succeed
3490cc26,0,same,False,False,False,1.0,1_generation_failure
34cfa167,0,same,False,False,False,1.0,1_generation_failure
34cfa167,1,same,False,False,False,1.0,1_generation_failure
351d6448,0,smaller,False,False,False,1.0,1_generation_failure
36fdfd69,0,same,True,False,False,1.0,7_both_fail_correct_candidate_present
3906de3d,0,same,False,False,False,1.0,1_generation_failure
396d80d7,0,same,False,False,False,1.0,1_generation_failure
3979b1a8,0,larger,False,False,False,1.0,1_generation_failure
3cd86f4f,0,larger,False,False,False,1.0,1_generation_failure
3cd86f4f,1,larger,False,False,False,1.0,1_generation_failure
3cd86f4f,2,larger,False,False,False,1.0,1_generation_failure
3d31c5b3,0,smaller,False,False,False,1.0,1_generation_failure
414297c0,0,smaller,False,False,False,1.0,1_generation_failure
41ace6b5,0,same,False,False,False,1.0,1_generation_failure
423a55dc,0,same,False,False,False,1.0,1_generation_failure
4364c1c4,0,same,False,False,False,1.0,1_generation_failure
46c35fc7,0,same,False,False,False,1.0,1_generation_failure
48d8fb45,0,smaller,True,False,False,1.0,7_both_fail_correct_candidate_present
4a1cacc2,0,same,True,False,False,1.0,7_both_fail_correct_candidate_present
4e45f183,0,same,False,False,False,1.0,1_generation_failure
4ff4c9da,0,same,False,False,False,1.0,1_generation_failure
506d28a5,0,smaller,False,False,False,1.0,1_generation_failure
50846271,0,same,False,False,False,1.0,1_generation_failure
50c07299,0,same,False,False,False,1.0,1_generation_failure
52fd389e,0,same,False,False,False,1.0,1_generation_failure
53b68214,0,larger,False,False,False,1.0,1_generation_failure
53b68214,1,larger,True,True,True,1.0,6_both_succeed
543a7ed5,0,same,True,True,True,1.0,6_both_succeed
54d82841,0,same,True,False,True,1.0,5_verifier_rescue
