task_id,n_records,n_test_inputs,n_candidates,n_unique_grids,ttt_seconds,solve_seconds,hit_time_guard,gpu_index,peak_mem_train_mib,peak_mem_infer_mib
d631b094,3,,3,,,,0,,,
310f3251,3,,3,,,,0,,,
ce039d91,3,,3,,,,0,,,
41ace6b5,3,,3,,,,0,,,
1b59e163,3,,3,,,,0,,,
94be5b80,3,,3,,,,0,,,
3490cc26,3,,3,,,,0,,,
db615bd4,3,,3,,,,0,,,
72322fa7,3,,3,,,,0,,,
25c199f5,3,,3,,,,0,,,
12997ef3,3,,3,,,,0,,,
2c0b0aff,3,,3,,,,0,,,
c9e6f938,3,,3,,,,0,,,
4a1cacc2,3,,3,,,,0,,,
36fdfd69,3,,3,,,,0,,,
0d3d703e,3,,3,,,,0,,,
e133d23d,3,,3,,,,0,,,
a68b268e,3,,3,,,,0,,,
53b68214,3,,3,,,,0,,,
6f8cd79b,3,,3,,,,0,,,
e0fb7511,3,,3,,,,0,,,
05269061,3,,3,,,,0,,,
29700607,3,,3,,,,0,,,
d9fac9be,3,,3,,,,0,,,
