task_id,shard,in_arc2_training_split,in_arc2_evaluation_split,in_nvarc_sdg_arc2_training_glob,in_nvarc_sdg_arc2_evaluation6_glob,rearc_name_collision_checkable_locally,task_classification
00576224,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
045e512c,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
05269061,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
09c534e7,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
0a1d4ef5,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
0d3d703e,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
0e206a2e,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
1190bc91,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
12422b43,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
12997ef3,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
13713586,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
1478ab18,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
15696249,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
184a9768,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
195ba7dc,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
19bb5feb,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
1a2e2828,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
1b2d62fb,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
1b59e163,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
1e5d6875,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
1f0c79e5,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
1f85a75f,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
20981f0e,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
234bbc79,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
25c199f5,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
27f8ce4f,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
