task_id,test_index,group,category,n_train_pairs,best_n_solved,best_pixel_agreement,s1_states_explored,s1_timed_out,n_emitted_candidates,compressarc_oracle_hit
d631b094,0,A,search_failure,4,1,0.25,20000,False,0,False
310f3251,0,A,search_failure,5,1,0.875475,20000,False,0,False
ce039d91,0,A,missing_language,4,0,0.9425,20000,False,0,False
41ace6b5,0,A,missing_language,3,0,0.78105,20000,False,0,False
1b59e163,0,A,missing_language,2,0,0.92284,20000,False,0,False
94be5b80,0,A,missing_language,2,0,0.885899,20000,False,0,False
3490cc26,0,A,missing_language,4,0,0.912365,20000,False,0,False
db615bd4,0,A,missing_language,3,0,0.892267,20000,False,0,False
72322fa7,0,A,missing_language,3,0,0.967899,20000,False,0,False
25c199f5,1,A,missing_language,5,0,0.0,20000,False,0,False
12997ef3,1,A,missing_language,4,0,0.0,20000,False,0,False
2c0b0aff,0,A,missing_language,4,0,0.0,20000,False,0,False
c9e6f938,0,B,missing_language,3,0,0.907407,20000,False,0,True
4a1cacc2,0,B,search_failure,4,1,0.878472,20000,False,0,True
36fdfd69,0,B,missing_language,3,0,0.948946,20000,False,0,True
0d3d703e,0,B,search_failure,4,2,0.666667,20000,False,0,True
e133d23d,0,B,missing_language,5,0,0.733333,20000,False,0,True
a68b268e,0,B,missing_language,6,0,0.0,20000,False,0,True
53b68214,1,C,search_failure,3,1,0.333333,20000,False,0,True
6f8cd79b,0,C,search_failure,4,1,0.825,20000,False,0,True
e0fb7511,0,C,missing_language,3,0,0.897436,20000,False,0,True
05269061,0,C,missing_language,3,0,0.428571,20000,False,0,True
29700607,0,C,missing_language,3,0,0.813606,20000,False,0,True
d9fac9be,0,C,search_failure,4,2,0.5,20000,False,0,True
