task_id,test_index,group,s0_states,s0_exact_programs,s0_candidates,s0_timed_out,s0_runtime_s,s1_states,s1_exact_programs,s1_candidates,s1_timed_out,s1_runtime_s
05269061,0,C,20000,0,0,False,0.597,20000,0,0,False,0.806
0d3d703e,0,B,20000,0,0,False,0.515,20000,0,0,False,0.527
12997ef3,1,A,20000,0,0,False,1.025,20000,0,0,False,1.941
1b59e163,0,A,20000,0,0,False,0.999,20000,0,0,False,1.352
25c199f5,1,A,20000,0,0,False,0.862,20000,0,0,False,1.716
29700607,0,C,20000,0,0,False,0.854,20000,0,0,False,1.111
2c0b0aff,0,A,20000,0,0,False,2.605,20000,0,0,False,4.977
310f3251,0,A,20000,0,0,False,0.608,20000,0,0,False,0.898
3490cc26,0,A,20000,0,0,False,2.037,20000,0,0,False,2.323
36fdfd69,0,B,20000,0,0,False,1.327,20000,0,0,False,1.229
41ace6b5,0,A,20000,0,0,False,0.787,20000,0,0,False,0.878
4a1cacc2,0,B,20000,0,0,False,0.641,20000,0,0,False,1.014
53b68214,1,C,20000,0,0,False,0.573,20000,0,0,False,0.994
6f8cd79b,0,C,20000,0,0,False,0.49,20000,0,0,False,0.654
72322fa7,0,A,20000,0,0,False,1.062,20000,0,0,False,1.298
94be5b80,0,A,20000,0,0,False,0.797,20000,0,0,False,1.046
a68b268e,0,B,20000,0,0,False,1.331,20000,0,0,False,2.322
c9e6f938,0,B,20000,0,0,False,0.42,20000,0,0,False,0.462
ce039d91,0,A,20000,0,0,False,0.853,20000,0,0,False,0.904
d631b094,0,A,20000,0,0,False,0.505,20000,0,0,False,0.347
d9fac9be,0,C,20000,0,0,False,0.906,20000,0,0,False,0.88
db615bd4,0,A,20000,0,0,False,2.234,20000,0,0,False,2.404
e0fb7511,0,C,20000,0,0,False,0.875,20000,0,0,False,0.879
e133d23d,0,B,20000,0,0,False,0.662,20000,0,0,False,0.575
