task_id,test_index,n_candidates,n_exact_programs,elapsed_s,states_explored,template_stage_exact,relational_stage_exact,compositional_stage_exact,best_n_solved_fallback
00576224,0,0,0,0.1164,7000,0,0,0,0
1478ab18,0,0,0,0.2193,7000,0,0,0,0
2c737e39,0,0,0,0.3383,7000,0,0,0,0
396d80d7,0,0,0,0.2871,7000,0,0,0,0
46c35fc7,0,0,0,0.2301,7000,0,0,0,0
5587a8d0,0,0,0,0.2416,7000,0,0,0,0
5a5a2103,0,0,0,0.3681,7000,0,0,0,0
5d2a5c43,1,0,0,0.3504,7000,0,0,0,0
5daaa586,0,0,0,0.6104,7000,0,0,0,0
60b61512,0,0,0,0.153,7000,0,0,0,0
642248e4,0,0,0,0.2411,7000,0,0,0,0
69889d6e,0,0,0,0.2788,7000,0,0,0,0
6ca952ad,0,0,0,0.3563,7000,0,0,0,0
6df30ad6,0,0,0,0.4053,7000,0,0,0,0
7ee1c6ea,0,0,0,0.2332,7000,0,0,0,0
88a62173,0,0,0,0.1418,7000,0,0,0,1
913fb3ed,0,0,0,0.3393,7000,0,0,0,0
9ba4a9aa,0,0,0,0.4482,7000,0,0,0,0
a3f84088,0,0,0,0.3681,7000,0,0,0,0
a8c38be5,0,0,0,0.3024,7000,0,0,0,0
c1990cce,0,0,0,0.1407,7000,0,0,0,0
c62e2108,0,0,0,0.4404,7000,0,0,0,0
c8b7cc0f,0,0,0,0.1707,7000,0,0,0,1
ea786f4a,0,0,0,0.1562,7000,0,0,0,0
