task_id,n_train,n_test,n_test_with_output,input_height_max,input_width_max,input_cells_max,output_height_max,output_width_max,output_cells_max,n_input_colours,n_output_colours,introduces_colours,removes_colours,objects_input_mean,objects_output_mean,size_relation,output_shape_varies,few_demonstrations,large_grid,split
00576224,2,1,1,2,2,4,6,6,36,7,7,False,False,4.0,34.0,larger,False,True,False,kaggle_training
007bbfb7,5,1,1,3,3,9,9,9,81,5,5,False,False,2.0,6.667,larger,False,False,False,kaggle_training
009d5c81,5,1,1,14,14,196,14,14,196,3,4,True,True,4.833,2.833,same,False,False,False,kaggle_training
00d62c1b,5,1,1,20,20,400,20,20,400,2,3,True,False,10.0,13.5,same,True,False,False,kaggle_training
00dbd492,4,1,1,20,20,400,20,20,400,2,5,True,False,4.0,6.0,same,True,False,False,kaggle_training
017c7c7b,3,1,1,6,3,18,9,3,27,2,2,True,True,3.0,4.0,larger,False,False,False,kaggle_training
025d127b,2,1,1,14,10,126,14,10,126,5,5,False,False,6.667,4.333,same,True,True,False,kaggle_training
03560426,3,1,1,10,10,100,10,10,100,8,8,False,False,3.5,3.5,same,False,False,False,kaggle_training
045e512c,3,1,1,21,21,441,21,21,441,8,8,False,False,4.0,9.25,same,False,False,True,kaggle_training
0520fde7,3,1,1,3,7,21,3,3,9,3,2,True,True,6.0,2.0,smaller,False,False,False,kaggle_training
05269061,3,1,1,7,7,49,7,7,49,6,5,False,True,11.0,49.0,same,False,False,False,kaggle_training
05a7bcf2,3,1,1,30,30,900,30,30,900,4,5,True,False,6.0,17.25,same,False,False,True,kaggle_training
05f2a901,3,1,1,14,10,126,14,10,126,3,3,False,False,2.0,2.0,same,True,False,False,kaggle_training
0607ce86,3,1,1,24,22,528,24,22,528,6,6,False,False,65.0,33.0,same,True,False,True,kaggle_training
0692e18c,3,1,1,3,3,9,9,9,81,5,5,False,False,2.0,9.0,larger,False,False,False,kaggle_training
06df4c85,3,1,1,26,26,676,26,26,676,7,7,False,False,7.5,15.5,same,True,False,True,kaggle_training
070dd51e,2,1,1,30,20,600,30,20,600,9,9,False,False,10.0,7.667,same,True,True,True,kaggle_training
08ed6ac7,2,1,1,9,9,81,9,9,81,2,5,True,True,4.0,4.0,same,False,True,False,kaggle_training
09629e4f,4,1,1,11,11,121,11,11,121,7,6,False,True,45.0,5.0,same,False,False,False,kaggle_training
0962bcdd,2,1,1,12,12,144,12,12,144,7,7,False,False,10.0,26.0,same,False,True,False,kaggle_training
09c534e7,3,1,1,30,30,900,30,30,900,7,7,False,False,5.5,16.75,same,True,False,True,kaggle_training
0a1d4ef5,3,1,1,30,30,900,4,3,12,10,8,False,True,198.0,8.75,smaller,True,False,True,kaggle_training
0a2355a6,4,1,1,15,17,255,15,17,255,2,5,True,True,3.8,3.8,same,True,False,False,kaggle_training
0a938d79,4,1,1,24,27,297,24,27,297,6,6,False,False,2.0,7.0,same,True,False,True,kaggle_training
0b148d64,3,1,1,21,21,441,10,10,100,6,5,False,True,16.5,4.0,smaller,True,False,True,kaggle_training
0b17323b,2,1,1,15,15,225,15,15,225,2,3,True,False,3.0,5.333,same,False,True,False,kaggle_training
0bb8deee,3,1,1,16,13,195,6,6,36,8,8,False,False,10.0,9.0,smaller,False,False,False,kaggle_training
0becf7df,3,1,1,10,10,100,10,10,100,9,9,False,False,9.5,9.5,same,False,False,False,kaggle_training
0c786b71,3,1,1,3,4,12,6,8,48,8,8,False,False,6.75,16.25,larger,False,False,False,kaggle_training
0c9aba6e,4,1,1,13,4,52,6,4,24,4,2,True,True,9.6,3.6,smaller,False,False,False,kaggle_training
0ca9ddb6,3,1,1,9,9,81,9,9,81,5,7,True,False,3.75,14.75,same,False,False,False,kaggle_training
0d3d703e,4,1,1,3,3,9,3,3,9,8,8,False,False,3.0,3.0,same,False,False,False,kaggle_training
0d87d2a6,3,1,1,23,25,575,23,25,575,3,3,False,False,10.75,4.25,same,True,False,True,kaggle_training
0e206a2e,3,1,1,24,19,456,24,19,456,7,7,False,False,14.75,10.25,same,True,False,True,kaggle_training
0e671a1a,4,1,1,13,13,169,13,13,169,4,5,True,False,3.0,4.4,same,False,False,False,kaggle_training
0f63c0b9,4,1,1,15,15,225,15,15,225,8,8,False,False,3.4,3.4,same,False,False,False,kaggle_training
103eff5b,2,1,1,24,26,416,24,26,416,6,5,False,True,6.333,8.667,same,True,True,True,kaggle_training
10fcaaa3,4,1,1,6,5,30,12,10,120,6,7,True,False,1.8,18.0,larger,True,False,False,kaggle_training
11852cab,3,1,1,10,10,100,10,10,100,6,6,False,False,10.0,13.0,same,False,False,False,kaggle_training
1190bc91,3,1,1,10,10,100,10,10,100,10,10,False,False,7.0,40.25,same,True,False,False,kaggle_training
1190e5a7,3,1,1,27,27,729,6,5,30,5,2,False,True,15.75,1.0,smaller,True,False,True,kaggle_training
11dc524f,3,1,1,13,13,169,13,13,169,3,3,False,False,3.75,4.0,same,False,False,False,kaggle_training
11e1fe23,2,1,1,12,14,168,12,14,168,7,8,True,False,3.0,7.0,same,True,True,False,kaggle_training
12422b43,5,1,1,13,7,78,13,7,78,9,9,False,False,5.333,9.5,same,True,False,False,kaggle_training
12997ef3,4,2,2,11,14,154,12,12,36,8,7,False,True,4.5,4.333,smaller,True,False,False,kaggle_training
12eac192,4,1,1,9,8,72,9,8,72,5,6,True,False,13.2,10.6,same,True,False,False,kaggle_training
13713586,3,1,1,19,18,342,19,18,342,8,8,False,False,4.25,4.25,same,True,False,False,kaggle_training
137eaa0f,3,1,1,11,11,121,3,3,9,10,10,False,False,8.0,5.5,smaller,False,False,False,kaggle_training
137f0df0,3,1,1,10,10,100,10,10,100,2,4,True,False,8.25,14.0,same,False,False,False,kaggle_training
13f06aa5,3,1,1,15,17,255,15,17,255,7,8,True,False,5.0,10.5,same,True,False,False,kaggle_training
140c817e,3,1,1,14,14,196,14,14,196,4,6,True,False,4.25,35.5,same,True,False,False,kaggle_training
14754a24,4,1,1,19,19,361,19,19,361,3,4,True,False,44.2,50.6,same,True,False,False,kaggle_training
1478ab18,3,1,1,8,8,64,8,8,64,2,3,True,False,5.0,9.0,same,False,False,False,kaggle_training
14b8e18c,3,1,1,10,10,100,10,10,100,3,4,True,False,6.25,24.5,same,False,False,False,kaggle_training
