task_id,n_records,n_test_inputs,n_candidates,n_unique_grids,ttt_seconds,solve_seconds,hit_time_guard,gpu_index,peak_mem_train_mib,peak_mem_infer_mib
135a2760,16,1,16,,,1584.3864,1,0,,9965
13e47133,0,2,0,,,1335.1030,1,0,,11027
16b78196,1,1,1,,,1717.7325,1,0,,13148
1ae2feb7,53,3,53,,,1206.2729,1,0,,8937
20270e3b,37,2,37,,,475.3497,0,0,,8013
21897d95,7,2,7,,,1532.8904,1,0,,10057
247ef758,17,2,17,,,1280.1693,1,0,,8965
271d71e2,0,1,0,,,878.6290,0,0,,9385
291dc1e1,0,1,0,,,484.9065,0,0,,8808
2ba387bc,18,1,18,,,1041.7844,0,0,,10739
2d0172a1,25,2,25,,,1219.4019,1,0,,10482
332f06d7,22,1,22,,,1041.8371,0,0,,9567
36a08778,15,2,15,,,1381.0746,1,0,,11167
3dc255db,22,1,22,,,625.0137,0,0,,8462
3e6067c3,4,2,4,,,1557.4379,1,0,,12101
45a5af55,18,1,18,,,1178.6721,0,0,,9775
4c3d4a41,39,2,39,,,652.5961,0,0,,8318
4c416de3,10,1,10,,,1463.7519,1,0,,11327
53fb4810,20,1,20,,,1246.5088,1,0,,9465
581f7754,11,2,11,,,1202.5189,1,0,,9157
5961cc34,4,1,4,,,1508.8840,1,0,,12973
64efde09,2,1,2,,,1216.5428,1,0,,11904
67e490f4,4,1,4,,,1097.3833,0,0,,10965
6e4f6532,0,2,0,,,1222.3894,1,0,,11152
71e489b6,28,2,28,,,1248.6009,1,0,,9815
78332cb0,50,2,50,,,739.7743,0,0,,8195
7b3084d4,10,1,10,,,945.2945,0,0,,9468
7b5033c1,20,1,20,,,387.6179,0,0,,8320
7c66cb00,0,1,0,,,1430.8941,1,0,,5903
800d221b,10,1,10,,,1273.4388,1,0,,10621
8698868d,20,1,20,,,1205.9793,1,0,,10280
88e364bc,13,2,13,,,1425.8684,1,0,,10785
898e7135,12,1,12,,,1375.6461,1,0,,10354
8b9c3697,6,1,6,,,1388.6355,1,0,,11484
8f215267,6,1,6,,,1464.6202,1,0,,12153
97d7923e,18,1,18,,,689.2419,0,0,,8568
0934a4d8,7,1,7,,,1256.8082,1,1,,12952
136b0064,1,1,1,,,411.9204,0,1,,8559
142ca369,20,2,20,,,1405.1083,1,1,,10574
16de56c4,17,2,17,,,773.7652,0,1,,8549
1818057f,17,1,17,,,757.7326,0,1,,9218
195c6913,2,2,2,,,1412.3191,1,1,,12831
20a9e565,14,2,14,,,1250.6267,1,1,,11790
221dfab4,9,2,9,,,1239.2121,1,1,,11547
269e22fb,7,2,7,,,1219.8508,1,1,,10641
28a6681f,21,1,21,,,417.2966,0,1,,8165
2b83f449,18,1,18,,,949.1137,0,1,,8755
2c181942,5,1,5,,,1412.3145,1,1,,11714
31f7f899,21,1,21,,,638.8432,0,1,,8768
35ab12c3,15,1,15,,,1287.9288,1,1,,10223
38007db0,32,2,32,,,723.4673,0,1,,9703
3a25b0d8,36,2,36,,,1163.3520,0,1,,9855
409aa875,23,1,23,,,909.8346,0,1,,9536
446ef5d2,5,2,5,,,958.1881,0,1,,8977
4a21e3da,11,2,11,,,1284.0163,1,1,,10280
4c7dc4dd,43,2,43,,,1034.1437,0,1,,10637
4e34c42c,2,2,2,,,883.8705,0,1,,9916
5545f144,17,1,17,,,796.8549,0,1,,8919
58490d8a,23,1,23,,,753.3445,0,1,,9895
58f5dbd5,16,1,16,,,720.1349,0,1,,9837
5dbc8537,2,2,2,,,583.6471,0,1,,9189
62593bfd,6,2,6,,,1243.2400,1,1,,11923
65b59efc,14,2,14,,,1222.3950,1,1,,9771
6e453dd6,18,1,18,,,953.4229,0,1,,9247
6ffbe589,1,1,1,,,597.5005,0,1,,9745
7491f3cf,22,1,22,,,767.6236,0,1,,9412
7666fa5d,19,1,19,,,637.6873,0,1,,8876
7b0280bc,9,1,9,,,1720.7586,1,1,,11100
7b80bb43,18,1,18,,,1312.0554,1,1,,11045
7ed72f31,19,2,19,,,1362.5179,1,1,,10184
80a900e0,2,1,2,,,1247.6541,1,1,,10340
88bcf3b4,9,2,9,,,1338.6970,1,1,,10218
89565ca0,24,1,24,,,740.2648,0,1,,10483
8b7bacbf,9,2,9,,,1681.3994,1,1,,11415
8e5c0c38,8,2,8,,,1282.1651,1,1,,10292
8f3a5a89,20,1,20,,,616.4918,0,1,,9356
9385bd28,9,2,9,,,759.4758,0,1,,9317
