task_id,n_records,n_test_inputs,n_candidates,n_unique_grids,ttt_seconds,solve_seconds,hit_time_guard,gpu_index,peak_mem_train_mib,peak_mem_infer_mib
135a2760,16,1,16,,,1584.3864,1,0,,9965
13e47133,0,2,0,,,1335.1030,1,0,,11027
16b78196,1,1,1,,,1717.7325,1,0,,13148
1ae2feb7,53,3,53,,,1206.2729,1,0,,8937
20270e3b,37,2,37,,,475.3497,0,0,,8013
21897d95,7,2,7,,,1532.8904,1,0,,10057
247ef758,17,2,17,,,1280.1693,1,0,,8965
271d71e2,0,1,0,,,878.6290,0,0,,9385
291dc1e1,0,1,0,,,484.9065,0,0,,8808
2ba387bc,18,1,18,,,1041.7844,0,0,,10739
2d0172a1,25,2,25,,,1219.4019,1,0,,10482
332f06d7,22,1,22,,,1041.8371,0,0,,9567
36a08778,15,2,15,,,1381.0746,1,0,,11167
3dc255db,22,1,22,,,625.0137,0,0,,8462
3e6067c3,4,2,4,,,1557.4379,1,0,,12101
45a5af55,18,1,18,,,1178.6721,0,0,,9775
4c3d4a41,39,2,39,,,652.5961,0,0,,8318
4c416de3,10,1,10,,,1463.7519,1,0,,11327
53fb4810,20,1,20,,,1246.5088,1,0,,9465
581f7754,11,2,11,,,1202.5189,1,0,,9157
5961cc34,4,1,4,,,1508.8840,1,0,,12973
64efde09,2,1,2,,,1216.5428,1,0,,11904
67e490f4,4,1,4,,,1097.3833,0,0,,10965
6e4f6532,0,2,0,,,1222.3894,1,0,,11152
71e489b6,28,2,28,,,1248.6009,1,0,,9815
78332cb0,50,2,50,,,739.7743,0,0,,8195
7b3084d4,10,1,10,,,945.2945,0,0,,9468
7b5033c1,20,1,20,,,387.6179,0,0,,8320
7c66cb00,0,1,0,,,1430.8941,1,0,,5903
800d221b,10,1,10,,,1273.4388,1,0,,10621
8698868d,20,1,20,,,1205.9793,1,0,,10280
88e364bc,13,2,13,,,1425.8684,1,0,,10785
898e7135,12,1,12,,,1375.6461,1,0,,10354
8b9c3697,6,1,6,,,1388.6355,1,0,,11484
8f215267,6,1,6,,,1464.6202,1,0,,12153
97d7923e,18,1,18,,,689.2419,0,0,,8568
