path	sha256	size_bytes	description
artifacts/DATA001A/tasks_train.jsonl.gz	8b2cab540429a887d08c172291919b72adb030131ccdb17dc4d4cc9ad067a415	917394	synthetic train task corpus
artifacts/DATA001A/tasks_validation.jsonl.gz	2d3853b1b3ea5bc70e5323763cafe47a2dc34eb319cf493b901928e4e0026e2a	308094	synthetic validation task corpus
artifacts/DATA001A/programs.jsonl.gz	0e31fc7295f596d8d273a4ea13f52fa70cd56b35325aa765b760b9cc5c609bf9	118558	typed program records
artifacts/DATA001A/generation_summary.json	fbb9285da8e9161c4f6c1be9fdb9d68d220b30a0c9f6ea1129cdee269cd5e09a	1545	generation summary
artifacts/DATA001A/family_manifest.json	df1ce536e7e51c9d23e3b83cfda1e1e8bb5b0fd70fbaf1fa8b8f9dd75dad513b	1428	family/bucket split manifest
artifacts/DATA001A/dataset_manifest.json	178167f7d1a51025793f73ff618870e83d8ec77fcb340899de0a854e9cdc264e	398	dataset manifest
artifacts/DATA001A/quarantined_tasks.jsonl	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	quarantine ledger
artifacts/DATA001A/coverage_metrics.json	3ddd9d0998a65c9b81e4268e5bcef8ea74477690ff28394693565e630f4bf5f7	4200	coverage metrics
artifacts/DATA001A/local_validation_summary.json	82d919f94a679c3083f31450f3ed6763b7611ae3f07803141112b70bcf8b40b5	732	local validation summary
experiments/DATA001A/RESULTS.md	b4ba1443d4aea73b25f1670377a11c5aba306297bf95d7a8520b8dcf40f6fad9	852	phase results
experiments/DATA001A/COVERAGE_ANALYSIS.md	41f3087bdf3c92aa8caad1c5021799dbb9c022df565b650cc7288496998f340c	1598	coverage narrative
experiments/DATA001A/LOCAL_VALIDATION.md	96a24fb4b53a54e33037ffdbbd12acc608ce7d33bbd72416a63e83adcd9367ee	900	local validation narrative
docs/CLEAN_NEURAL_GENERATOR_STRATEGY.md	906addaa706e7ac4176ab3d3bf22a664fd99829d6d7acfe32cd8acc8bd0374b1	2221	strategy decision
