artifact	bytes	sha256	description
artifacts/EXP002C2/pilot_kernel_output/exp002c2-oversubscription-pilot.log	17780	8b6f59d908e57167519b89a2ac57d92ea45eef2ddaa791dee1199d85d0b7b65a	Kaggle kernel execution log
artifacts/EXP002C2/pilot_kernel_output/exp002c2_pilot/c3c4_report.json	4420	fe2fcaef380a1fbff22bbf5e2aac63c8a22885bc90039f5ec4cd1d6f74428d96	full C3/C4 metrics report (v2, real data)
artifacts/EXP002C2/pilot_kernel_output/exp002c2_pilot/config_C3.json	3421281	a223060a96358c0ab4c62dde963f434e4af817327b418f03bdc7040aabd57e86	per-config process/result aggregate
artifacts/EXP002C2/pilot_kernel_output/exp002c2_pilot/config_C4.json	3353869	a4c9221da72f48cac1ec9f3f3b962413b0e48be1ad260ede4491c8856cf423e7	per-config process/result aggregate
artifacts/EXP002C2/pilot_kernel_output/exp002c2_pilot/per_task/C3_00576224.json	103613	169b7b1becda975b6a49747c31e793daf0ae7930ff5498c92a4ed439eefd71da	one task's solve_task_cli.py output (grids, candidates, timing)
artifacts/EXP002C2/pilot_kernel_output/exp002c2_pilot/per_task/C3_00576224.log	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	one task's subprocess stdout/stderr (empty in normal runs)
artifacts/EXP002C2/pilot_kernel_output/exp002c2_pilot/per_task/C3_009d5c81.json	297766	82e71e4be296d85b553d2c917794c6ef627068607f9bdc6dc3c8a4a7bce03097	one task's solve_task_cli.py output (grids, candidates, timing)
artifacts/EXP002C2/pilot_kernel_output/exp002c2_pilot/per_task/C3_009d5c81.log	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	one task's subprocess stdout/stderr (empty in normal runs)
artifacts/EXP002C2/pilot_kernel_output/exp002c2_pilot/per_task/C3_0520fde7.json	10096	042d5583a99bd470e85221a857da49433e65636874232b04201add685ed04ecf	one task's solve_task_cli.py output (grids, candidates, timing)
artifacts/EXP002C2/pilot_kernel_output/exp002c2_pilot/per_task/C3_0520fde7.log	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	one task's subprocess stdout/stderr (empty in normal runs)
